id,playerName,age,position,marketValue,previousClub,newClub,price,season,date,cleanSheets,savesPercentage,goalieErrors,tacklesWon,interceptions,cleaners,goals,assists,chancesCreated,successRate
1,D. Rice,24,DM,€90.00m,West Ham,Arsenal FC,€116.60m,23-24,summer,0,0,0,6,5,5,0,0,0,88.89
2,K. Havertz,24,AM,€55.00m,Chelsea,Arsenal FC,€75.00m,23-24,summer,0,0,0,0,0,0,23,24,45,92.3
3,J. Timber,22,CB,€42.00m,Ajax,Arsenal FC,€40.00m,23-24,summer,0,0,0,4,4,6,0,0,0,77.78
4,F. Balogun,22,CF,€30.00m,Arsenal FC,Monaco,€30.00m,23-24,summer,0,0,0,0,0,0,22,20,48,87.85
5,G. Xhaka,30,DM,€20.00m,Arsenal FC,B. Leverkusen,€15.00m,23-24,summer,0,0,0,6,4,5,0,0,0,83.33
6,M. Turner,29,GK,€9.00m,Arsenal FC,Nottm Forest,€8.15m,23-24,summer,24,86,4,0,0,0,0,0,0,66.44
7,P. Marí,29,CB,€5.00m,Arsenal FC,Monza,€6.20m,23-24,summer,0,0,0,3,1,1,0,0,0,27.78
8,A. Trusty,24,CB,€8.00m,Arsenal FC,Sheff Utd,€5.80m,23-24,summer,0,0,0,4,4,3,0,0,0,61.11
9,R. Holding,27,CB,€5.00m,Arsenal FC,Crystal Palace,€1.20m,23-24,summer,0,0,0,1,2,1,0,0,0,22.22
10,N. Pépé,28,RW,€10.00m,Arsenal FC,Trabzonspor,free transfer,23-24,summer,0,0,0,0,0,0,15,15,36,62.96
11,A. Maitland-Niles,25,RM,€7.00m,Arsenal FC,Olympique Lyon,free transfer,23-24,summer,0,0,0,0,0,0,14,11,23,46.67
12,M. Diaby,24,RW,€50.00m,B. Leverkusen,Aston Villa,€55.00m,23-24,summer,0,0,0,0,0,0,25,25,44,95.56
13,P. Torres,26,CB,€45.00m,Villarreal,Aston Villa,€33.00m,23-24,summer,0,0,0,5,4,5,0,0,0,77.78
14,Y. Tielemans,26,CM,€25.00m,Leicester,Aston Villa,free transfer,23-24,summer,0,0,0,5,4,5,0,0,0,77.78
15,C. Archer,21,CF,€15.00m,Aston Villa,Sheff Utd,€21.55m,23-24,summer,0,0,0,0,0,0,20,18,35,72.89
16,J. Philogene,21,LW,€15.00m,Aston Villa,Hull City,€5.80m,23-24,summer,0,0,0,0,0,0,17,18,31,65.93
17,M. Nakamba,29,DM,€5.00m,Aston Villa,Luton,€2.90m,23-24,summer,0,0,0,3,2,3,0,0,0,44.44
18,K. Davis,25,CF,€3.00m,Aston Villa,Udinese Calcio,€2.30m,23-24,summer,0,0,0,0,0,0,1,5,5,8.0
19,A. Young,38,LB,€600k,Aston Villa,Everton,free transfer,23-24,summer,0,0,0,1,0,1,0,0,0,11.11
20,Wesley Moraes,26,CF,€1.00m,Aston Villa,Stoke City,?,23-24,summer,0,0,0,0,0,0,3,5,5,10.67
21,Jed Steer,30,GK,€400k,Aston Villa,Without Club,-,23-24,summer,15,78,3,0,0,0,0,0,0,47.78
22,T. Adams,24,DM,€18.00m,Leeds,AFC Bournemouth,€26.90m,23-24,summer,0,0,0,4,4,4,0,0,0,66.67
23,H. Traorè,23,AM,€22.00m,Sassuolo,AFC Bournemouth,€25.62m,23-24,summer,0,0,0,0,0,0,20,20,41,80.0
24,A. Scott,19,CM,€20.00m,Bristol City,AFC Bournemouth,€23.00m,23-24,summer,0,0,0,5,6,4,0,0,0,83.33
25,M. Kerkez,19,LB,€15.00m,AZ Alkmaar,AFC Bournemouth,€17.87m,23-24,summer,0,0,0,5,4,3,0,0,0,66.67
26,R. Faivre,24,RM,€10.00m,Olympique Lyon,AFC Bournemouth,€15.00m,23-24,summer,0,0,0,0,0,0,18,16,31,64.59
27,J. Kluivert,24,LW,€14.00m,AS Roma,AFC Bournemouth,€10.80m,23-24,summer,0,0,0,0,0,0,19,20,35,74.22
28,M. Aarons,23,RB,€16.00m,Norwich,AFC Bournemouth,€8.10m,23-24,summer,0,0,0,6,5,5,0,0,0,88.89
29,B. Pearson,28,DM,€2.00m,AFC Bournemouth,Stoke City,€1.50m,23-24,summer,0,0,0,1,0,1,0,0,0,11.11
30,J. Stacey,27,RB,€2.80m,AFC Bournemouth,Norwich,free transfer,23-24,summer,0,0,0,1,0,0,0,0,0,5.56
31,J. Lerma,28,DM,€20.00m,AFC Bournemouth,Crystal Palace,free transfer,23-24,summer,0,0,0,4,4,6,0,0,0,77.78
32,J. Zemura,23,LB,€6.00m,AFC Bournemouth,Udinese Calcio,free transfer,23-24,summer,0,0,0,4,4,2,0,0,0,55.56
33,C. Saydee,21,CF,€400k,AFC Bournemouth,Portsmouth,?,23-24,summer,0,0,0,0,0,0,5,1,8,10.22
34,S. Dembélé,26,LW,€2.20m,AFC Bournemouth,Birmingham,?,23-24,summer,0,0,0,0,0,0,4,5,5,12.0
35,J. Stanislas,33,LW,€2.20m,AFC Bournemouth,Without Club,-,23-24,summer,0,0,0,0,0,0,1,5,7,9.48
36,N. Collins,22,CB,€22.00m,Wolves,Brentford FC,€26.85m,23-24,summer,0,0,0,4,4,5,0,0,0,72.22
37,K. Schade,21,RW,€25.00m,SC Freiburg,Brentford FC,€25.00m,23-24,summer,0,0,0,0,0,0,22,25,42,90.07
38,M. Flekken,30,GK,€10.00m,SC Freiburg,Brentford FC,€13.00m,23-24,summer,24,89,2,0,0,0,0,0,0,63.67
39,M. Bidstrup,22,CM,€9.00m,Brentford FC,RB Salzburg,€6.00m,23-24,summer,0,0,0,3,3,3,0,0,0,50.0
40,H. Dervişoğlu,23,CF,€1.00m,Brentford FC,Galatasaray,€500k,23-24,summer,0,0,0,0,0,0,0,5,8,8.89
41,S. Canós,26,RW,€2.50m,Brentford FC,Valencia,€250k,23-24,summer,0,0,0,0,0,0,0,2,8,4.89
42,P. Jansson,32,CB,€1.50m,Brentford FC,Malmö FF,free transfer,23-24,summer,0,0,0,1,1,0,0,0,0,11.11
43,J. Valencia,28,AM,€250k,Brentford FC,Z. Sosnowiec,free transfer,23-24,summer,0,0,0,0,0,0,1,3,8,7.56
44,M. Bech Sörensen,24,CB,€2.50m,Brentford FC,FC Midtjylland,?,23-24,summer,0,0,0,1,1,0,0,0,0,11.11
45,T. Fosu,27,LW,€900k,Brentford FC,Without Club,-,23-24,summer,0,0,0,0,0,0,5,3,5,10.67
46,João Pedro,21,CF,€32.00m,Watford,Brighton & Hove Albion,€34.20m,23-24,summer,0,0,0,0,0,0,24,22,50,94.67
47,C. Baleba,19,DM,€5.00m,LOSC Lille,Brighton & Hove Albion,€27.00m,23-24,summer,0,0,0,3,1,3,0,0,0,38.89
48,B. Verbruggen,20,GK,€10.00m,RSC Anderlecht,Brighton & Hove Albion,€20.00m,23-24,summer,23,81,3,0,0,0,0,0,0,60.11
49,Igor,25,CB,€10.00m,Fiorentina,Brighton & Hove Albion,€16.15m,23-24,summer,0,0,0,5,4,3,0,0,0,66.67
50,J. Milner,37,CM,€1.50m,Liverpool,Brighton & Hove Albion,free transfer,23-24,summer,0,0,0,0,0,1,0,0,0,5.56
51,M. Dahoud,27,CM,€12.00m,Bor. Dortmund,Brighton & Hove Albion,free transfer,23-24,summer,0,0,0,5,3,3,0,0,0,61.11
52,M. Caicedo,21,DM,€80.00m,Brighton & Hove Albion,Chelsea,€116.00m,23-24,summer,0,0,0,4,5,5,0,0,0,77.78
53,A. Mac Allister,24,CM,€70.00m,Brighton & Hove Albion,Liverpool,€42.00m,23-24,summer,0,0,0,4,6,6,0,0,0,88.89
54,R. Sánchez,25,GK,€25.00m,Brighton & Hove Albion,Chelsea,€28.70m,23-24,summer,22,92,3,0,0,0,0,0,0,64.89
55,A. Zeqiri,24,CF,€3.50m,Brighton & Hove Albion,KRC Genk,€2.75m,23-24,summer,0,0,0,0,0,0,1,1,9,5.63
56,M. Karbownik,22,LB,€3.50m,Brighton & Hove Albion,Hertha BSC,€2.50m,23-24,summer,0,0,0,0,1,1,0,0,0,11.11
57,R. Khadra,22,AM,€3.00m,Brighton & Hove Albion,Stade Reims,€1.90m,23-24,summer,0,0,0,0,0,0,3,2,9,9.63
58,A. Connolly,23,CF,€2.50m,Brighton & Hove Albion,Hull City,€1.35m,23-24,summer,0,0,0,0,0,0,2,3,7,8.15
59,H. Roberts,21,LB,€700k,Brighton & Hove Albion,Bristol City,free transfer,23-24,summer,0,0,0,1,0,1,0,0,0,11.11
60,T. Richards,22,CM,€350k,Brighton & Hove Albion,QPR,?,23-24,summer,0,0,0,1,0,1,0,0,0,11.11
61,Z. Amdouni,22,CF,€10.00m,FC Basel,Burnley FC,€18.60m,23-24,summer,0,0,0,0,0,0,19,17,39,73.19
62,J. Trafford,20,GK,€15.00m,Man City U21,Burnley FC,€17.30m,23-24,summer,20,96,4,0,0,0,0,0,0,66.67
63,A. Ramsey,20,AM,€5.00m,Aston Villa U21,Burnley FC,€16.45m,23-24,summer,0,0,0,0,0,0,7,5,13,21.93
64,J. Beyer,23,CB,€16.00m,Bor. M'gladbach,Burnley FC,€15.00m,23-24,summer,0,0,0,6,5,5,0,0,0,88.89
65,S. Berge,25,DM,€20.00m,Sheff Utd,Burnley FC,€13.90m,23-24,summer,0,0,0,5,4,4,0,0,0,72.22
66,W. Odobert,18,LW,€6.00m,Troyes,Burnley FC,€12.00m,23-24,summer,0,0,0,0,0,0,10,15,23,46.67
67,D. O'Shea,24,CB,€5.00m,West Brom,Burnley FC,€7.80m,23-24,summer,0,0,0,1,3,1,0,0,0,27.78
68,M. Obafemi,22,CF,€5.00m,Swansea,Burnley FC,€4.00m,23-24,summer,0,0,0,0,0,0,9,6,13,25.93
69,H. Delcroix,24,CB,€2.00m,RSC Anderlecht,Burnley FC,€3.00m,23-24,summer,0,0,0,1,1,0,0,0,0,11.11
70,L. Koleosho,18,LW,€1.00m,RCD Espanyol B,Burnley FC,€3.00m,23-24,summer,0,0,0,0,0,0,3,3,5,8.0
71,N. Redmond,29,RW,€10.00m,Besiktas,Burnley FC,free transfer,23-24,summer,0,0,0,0,0,0,20,20,35,75.56
72,H. Massengo,22,DM,€5.00m,Bristol City,Burnley FC,free transfer,23-24,summer,0,0,0,2,2,3,0,0,0,38.89
73,L. Vigouroux,29,GK,€300k,Leyton Orient,Burnley FC,free transfer,23-24,summer,18,74,4,0,0,0,0,0,0,51.78
74,B. Thomas,22,CB,€2.50m,Burnley FC,Coventry,€2.30m,23-24,summer,0,0,0,1,1,0,0,0,0,11.11
75,W. Norris,29,GK,€400k,Burnley FC,Portsmouth,free transfer,23-24,summer,17,77,6,0,0,0,0,0,0,56.56
76,A. Barnes,33,CF,€500k,Burnley FC,Norwich,free transfer,23-24,summer,0,0,0,0,0,0,5,2,9,12.3
77,M. Lowton,34,RB,€2.20m,Burnley FC,Without Club,-,23-24,summer,0,0,0,0,0,1,0,0,0,5.56
78,R. Lavia,19,DM,€32.00m,Southampton,Chelsea FC,€62.10m,23-24,summer,0,0,0,6,5,4,0,0,0,83.33
